"Company","Ticker","Sector","E","S","G","ESG","Status"
"Jack Henry & Associates","JKHY","Financials","0.78","9.45","5.22","15.45","Invest"
"Jacobs Solutions","J","Industrials","5.29","11.46","5.62","22.37","Divest"
"Johnson & Johnson","JNJ","Health Care","0.74","15.79","8.55","25.08","Invest"
"Johnson Controls","JCI","Industrials","4.89","4.55","5.25","14.7","Divest"
"JPMorgan Chase","JPM","Financials","1.11","16.18","11.73","29.02","Invest"
"Juniper Networks","JNPR","Information Technology","1.66","8.52","6.41","16.59","Invest"
"Kellogg's","K","Consumer Staples","7.4","14.87","4.58","26.84","Divest"
"KeyCorp","KEY","Financials","1.89","11.08","10.17","23.14","Invest"
"Kimberly-Clark","KMB","Consumer Staples","8.05","7.77","6.23","22.05","Divest"
"Kimco Realty","KIM","Real Estate","3.7","2.91","5.53","12.14","Invest"
"Kinder Morgan","KMI","Energy","7.75","7.32","3.48","18.55","Divest"
"KLA Corporation","KLAC","Information Technology","7.13","4.76","4.91","16.79","Divest"
"Kroger","KR","Consumer Staples","6.51","9.43","5.46","21.39","Divest"
"LabCorp","LH","Health Care","0.13","11.55","7.13","18.81","Invest"
"Lam Research","LRCX","Information Technology","4.5","3.97","4.98","13.45","Divest"
"Las Vegas Sands","LVS","Consumer Discretionary","1.28","7.76","8.65","17.69","Invest"
"Leidos","LDOS","Industrials","1.29","4.99","5.39","11.67","Invest"
"Lennar","LEN","Consumer Discretionary","8.89","8.77","5.47","23.11","Divest"
"LKQ Corporation","LKQ","Consumer Discretionary","3.27","4","3.27","10.54","Invest"
"Lockheed Martin","LMT","Industrials","5.27","15.9","7.2","28.36","Divest"
"Loews Corporation","L","Financials","0.59","4.25","11.63","16.48","Invest"
"Lowe's","LOW","Consumer Discretionary","3.7","4.63","3.15","11.49","Invest"
"LyondellBasell","LYB","Materials","16.64","2.13","5.82","24.59","Divest"
"M&T Bank","MTB","Financials","2.2","12.77","11.19","26.16","Invest"
"Marathon Oil","MRO","Energy","23.91","10.14","7.96","42.01","Divest"
"Marathon Petroleum","MPC","Energy","15.91","7.01","5.79","28.7","Divest"
"Marriott International","MAR","Consumer Discretionary","8.75","9.05","4.09","21.89","Divest"
"Marsh McLennan","MMC","Financials","0.06","7.9","11.49","19.45","Invest"
"Martin Marietta Materials","MLM","Materials","18.55","4.53","8.74","31.82","Divest"
"Masco","MAS","Industrials","9.44","5.8","7.21","22.44","Divest"
"Mastercard","MA","Financials","0.32","8.1","8.57","16.98","Invest"
"McCormick & Company","MKC","Consumer Staples","10.07","11.3","5.21","26.58","Divest"
"McDonald's","MCD","Consumer Discretionary","4.18","14.3","6.32","24.79","Divest"
"McKesson","MCK","Health Care","2.29","7.37","5.52","15.17","Invest"
"Medtronic","MDT","Health Care","2.39","12.63","7.63","22.66","Invest"
"Merck & Co.","MRK","Health Care","0.79","11.47","9.57","21.84","Invest"
"MetLife","MET","Financials","0.73","4.82","9.41","14.95","Invest"
"Mettler Toledo","MTD","Health Care","1","7.41","4.91","13.32","Invest"
"MGM Resorts","MGM","Consumer Discretionary","2","12.97","10.53","25.49","Invest"
"Microchip Technology","MCHP","Information Technology","14.83","8.75","7.4","30.98","Divest"
"Micron Technology","MU","Information Technology","6.6","5.07","5.77","17.44","Divest"
"Microsoft","MSFT","Information Technology","1.53","8.39","5.33","15.24","Invest"
"Mid-America Apartment Communities","MAA","Real Estate","5.5","3.74","5.4","14.64","Divest"
"Mohawk Industries","MHK","Consumer Discretionary","5.61","4.19","4.36","14.17","Divest"
"Molson Coors Beverage Company","TAP","Consumer Staples","6.96","8.67","5.57","21.21","Divest"
"Mondelez International","MDLZ","Consumer Staples","9.46","9.08","5.18","23.78","Divest"
"Monster Beverage","MNST","Consumer Staples","12.43","10.58","5.03","28.03","Divest"
"Moody's Corporation","MCO","Financials","0.02","5.23","5.25","10.5","Invest"
"Morgan Stanley","MS","Financials","0.72","11.76","9.73","22.22","Invest"
"Mosaic Company (The)","MOS","Materials","14.35","11.05","8.66","34.06","Divest"
"Motorola Solutions","MSI","Information Technology","2.21","6.7","5.39","14.31","Invest"
"MSCI","MSCI","Financials","1.65","6.77","7.59","16.01","Invest"
"Nasdaq, Inc.","NDAQ","Financials","1.81","4.56","5.28","11.65","Invest"
"NetApp","NTAP","Information Technology","2.58","6.93","5.98","15.49","Invest"
"Netflix","NFLX","Communication Services","0.09","6.83","9.34","16.25","Invest"
"Newmont","NEM","Materials","6.92","8.24","5.16","20.33","Divest"
"NextEra Energy","NEE","Utilities","14.05","7.64","5.83","27.53","Divest"
"Nike, Inc.","NKE","Consumer Discretionary","3.04","6.99","6.92","16.95","Invest"
"NiSource","NI","Utilities","14.08","10.25","5.18","29.51","Divest"
"Nordson Corporation","NDSN","Industrials","9.26","11.8","5.59","26.66","Divest"
"Norfolk Southern Railway","NSC","Industrials","8.05","11.36","3.32","22.73","Divest"
"Northern Trust","NTRS","Financials","1.87","11.83","10.17","23.86","Invest"
"Northrop Grumman","NOC","Industrials","7.47","14.87","5.05","27.4","Divest"
"NRG Energy","NRG","Utilities","17.08","9.42","5.67","32.16","Divest"
"Nucor","NUE","Materials","9.66","13.33","8.95","31.94","Divest"
"Nvidia","NVDA","Information Technology","2.26","5.16","6.03","13.45","Invest"
"NVR, Inc.","NVR","Consumer Discretionary","7.21","7.82","5.3","20.33","Divest"
"NXP Semiconductors","NXPI","Information Technology","8.67","7.39","5.55","21.6","Divest"
"O'Reilly Auto Parts","ORLY","Consumer Discretionary","0.16","8.89","3.98","13.03","Invest"
"Occidental Petroleum","OXY","Energy","24.61","12.04","6.59","43.23","Divest"
"Omnicom Group","OMC","Communication Services","0.09","9.33","6.88","16.3","Invest"
"ON Semiconductor","ON","Information Technology","14.8","6.36","5.42","26.59","Divest"
"ONEOK","OKE","Energy","11.78","11.01","3.31","26.1","Divest"
"Oracle Corporation","ORCL","Information Technology","0.52","7.71","5.69","13.92","Invest"
"Paccar","PCAR","Industrials","8.36","10.99","8.42","27.77","Divest"
"Packaging Corporation of America","PKG","Materials","11.65","1.35","3.76","16.75","Divest"
"Parker Hannifin","PH","Industrials","9.2","13.68","6.24","29.13","Divest"
"Paychex","PAYX","Industrials","1.17","9.81","6.51","17.48","Invest"
"Pentair","PNR","Industrials","6.66","10.01","6.07","22.74","Divest"
"PepsiCo","PEP","Consumer Staples","4.91","6.55","4.48","15.94","Divest"
"Pfizer","PFE","Health Care","2.83","12.85","9.66","25.34","Invest"
"PG&E Corporation","PCG","Utilities","8.41","20.65","6.2","35.26","Divest"
"Philip Morris International","PM","Consumer Staples","3.57","10.73","9.49","23.79","Invest"
"Pinnacle West","PNW","Utilities","14.86","10.23","5.97","31.06","Divest"
"Pioneer Natural Resources","PXD","Energy","18.67","8.97","9.1","36.74","Divest"
"PNC Financial Services","PNC","Financials","1.73","11.75","8.86","22.34","Invest"
"PPG Industries","PPG","Materials","9.32","7.69","7.32","24.33","Divest"
"PPL Corporation","PPL","Utilities","19.71","8.31","5.81","33.84","Divest"
"Principal Financial Group","PFG","Financials","0.68","6.65","9.88","17.22","Invest"
"Procter & Gamble","PG","Consumer Staples","9.54","9.6","7.47","26.61","Divest"
"Progressive Corporation","PGR","Financials","1.67","8.36","10.85","20.87","Invest"
"Prologis","PLD","Real Estate","2.5","1.74","4.27","8.51","Invest"
"Prudential Financial","PRU","Financials","1.03","6.57","8.6","16.21","Invest"
"Public Service Enterprise Group","PEG","Utilities","11.56","9.28","5.46","26.31","Divest"
"PTC","PTC","Information Technology","4.92","8.61","5.4","18.93","Divest"
"Public Storage","PSA","Real Estate","4.51","2.55","5.24","12.3","Divest"
"PulteGroup","PHM","Consumer Discretionary","8.73","7.28","4.86","20.87","Divest"
"Quanta Services","PWR","Industrials","12.4","15.73","9.05","37.18","Divest"
"Qualcomm","QCOM","Information Technology","4.83","4.05","7.71","16.59","Divest"
"Quest Diagnostics","DGX","Health Care","0.13","12.67","8.18","20.98","Invest"
"Ralph Lauren Corporation","RL","Consumer Discretionary","1.14","6.79","5.28","13.21","Invest"
"Raymond James","RJF","Financials","1.18","10.38","12.43","23.99","Invest"
"RTX Corporation","RTX","Industrials","7.99","13.09","8.1","29.17","Divest"
"Realty Income","O","Real Estate","4.41","5.32","5.74","15.47","Divest"
"Regency Centers","REG","Real Estate","3.56","2.86","4.45","10.88","Invest"
"Regeneron","REGN","Health Care","0.38","10.75","7.03","18.15","Invest"
"Regions Financial Corporation","RF","Financials","1.6","7.03","7.44","16.08","Invest"
"Republic Services","RSG","Industrials","11.3","6.02","3.66","20.98","Divest"
"ResMed","RMD","Health Care","3.36","12.41","10.63","26.41","Invest"
"Robert Half","RHI","Industrials","0.1","7.37","3.46","10.93","Invest"
"Rockwell Automation","ROK","Industrials","5.37","6.64","5.65","17.67","Divest"
"Rollins, Inc.","ROL","Industrials","1.76","11.18","7.34","20.28","Invest"
"Roper Technologies","ROP","Information Technology","4.62","12.71","5.56","22.9","Divest"
"Ross Stores","ROST","Consumer Discretionary","1.8","8.45","5.68","15.93","Invest"
"Royal Caribbean Group","RCL","Consumer Discretionary","9.14","8.04","3.79","20.97","Divest"
"S&P Global","SPGI","Financials","0","6.16","8.15","14.31","Invest"
"Salesforce","CRM","Information Technology","2.34","6.39","4.46","13.18","Invest"
"SBA Communications","SBAC","Real Estate","3.11","3.23","5.23","11.58","Invest"
"Schlumberger","SLB","Energy","7.41","8.76","5.76","21.93","Divest"
